target,position,sentence,hypernym,definition,label
face,4,they climbed the north face of the mountain ,surface,a surface forming part of the outside of an object,T
development,8,in chess your should take care of your development before moving your queen,improvement;melioration,a state in which things are improving;the result of developing as in the early part of a game of chess ,T
saving,8,the shift of the supplier gave us a saving of percent ,action,an act of economizing;reduction in cost,T
run,4,yesterday we did a run of units ,indefinite_quantity,the production achieved during a continuous period of operation of a machine or factory etc ,T
last,3,he was the last to leave,rank,the last or lowest in an ordering or series,T
label,6,we laughed at her because the label was still on her new sweater ,marker;marking;mark,an identifying or descriptive marker that is attached to an object,T
society,9,it was then that they decided to found a society of didgeridoo playing unicyclists ,association,a formal association of people with similar interests,T
key,1,the key to winning a game,explanation,something crucial for explaining,T
difference,5,his support made a real difference,change,a significant change,T
action,6,the piano had a very stiff action,mechanism,the operating part that transmits power to a mechanism,T
clearance,4,the plane was given clearance to land,license;permission;permit,permission to proceed,T
set,2,the smart set goes there,social_group,an unofficial association of people or groups,T
withholding,3,i resented his withholding permission,retention;keeping;holding,the act of holding back or keeping within your possession or control,T
shoestring,5,he managed it on a shoestring,small_indefinite_quantity;small_indefinite_amount,a small amount of money,T
dozen,3,i ordered two dozen doughnuts ,large_integer,the cardinal number that is the sum of eleven and one,T
third,2,a distant third,rank,following the second position in an ordering or series,T
flight,4,i took the noon flight to chicago,trip,a scheduled trip by plane between designated airports,T
light,1,the light of my life,friend,a person regarded very fondly,T
back,6,he wrote the date on the back of the photograph,side,the side that goes last or is not normally seen,T
foot,1,the foot of the page,bottom,the lower part of anything,T
time,3,see you another time that is three times he is made the same mistake,case;instance;example,an instance or single occasion for some event,T
book,4,genesis is the first book of the bible ,section;subdivision,a major division of a long written composition,T
marriage,4,a long and happy marriage,marital_status,the state of being a married couple voluntarily joined for life or until divorce ,T
cold,6,come in out of the cold ,temperature,the absence of heat,T
head,1, head of big cattle and head of branded calves,domestic_animal;domesticated_animal,a single domestic animal,T
wound,8,he feared that mentioning it might reopen the wound,distress;hurt;suffering,a figurative injury to your feelings or pride ,T
credit,3,he was given credit for his work,approval;commendation,approval,T
block,4,he held a large block of the company is stock,collection;aggregation;accumulation;assemblage,a number or quantity of related things dealt with as a unit,T
ambition,1,his ambition is to own his own business,desire,a cherished desire,T
charge,4,there will be a charge of five dollars ,cost,the price charged for some article or service,T
air,7,the flock of birds took to the air ,gas,a mixture of gases especially oxygen required for breathing;the stuff that the wind consists of,T
patter,1,the patter of mice,sound,a quick succession of light rapid sounds,T
line,1,the line stretched clear around the corner,formation,a formation of people or things one behind another,T
locus,4,a circle is the locus of points from which the distance to the center is a given value the radius ,set,the set of all points or lines that satisfy or are determined by specific conditions,T
foulness,4,mouths which speak such foulness must be cleansed,iniquity;wickedness;darkness;dark,disgusting wickedness and immorality,T
line,5,please speak up the line is very faint ,connection;connexion;connector;connecter;connective,a telephone connection,T
term,1,the term allowed to a debtor to discharge his debt,time_period;period_of_time;period,a limited period of time,T
vault,7,family members had been buried in the vault for centuries ,burial_chamber;sepulcher;sepulchre;sepulture,a burial chamber usually underground ,T
air,6,he threw the ball into the air,region;part,the region above the ground,T
population,4,the african american population of salt lake city has been increasing,integer;whole_number,the number of inhabitants either the total number or the number of a particular race or class in a given place country or city etc ,T
time,3,he had a time holding back the tears,experience,a person is experience on a particular occasion,T
grace,4,there but for the grace of god go i,beneficence, christian theology the free and unmerited favor or beneficence of god,T
crack,4,open the door a crack ,opening;gap,a long narrow opening,T
truth,1,the truth is that he did not want to do it,fact,a fact that has been verified,T
fish,5,the shark is a large fish,aquatic_vertebrate,any of various mostly cold blooded aquatic vertebrates usually having scales and breathing through gills,T
language,1,the language introduced is standard throughout the text,communication,a systematic means of communicating by the use of sounds or conventional symbols,T
funny,3,she made a funny,joke;gag;laugh;jest;jape,an account of an amusing incident usually with a punch line ,T
use,1,the use of torture has been condemned by the united nations there is no use for your invention,activity,the act of using,T
rotation,9,the manager had only four starting pitchers in his rotation,sequence;chronological_sequence;succession;successiveness;chronological_succession,a planned recurrent sequence of crops or personnel etc ,T
inventory,3,they held an inventory every month,listing;itemization;itemisation,making an itemized list of merchandise or supplies on hand,T
body,3,they found the body in the lake,natural_object,a natural object consisting of a dead animal or person,T
transcript,4,you can obtain a transcript of this radio program by sending a self addressed envelope to the station,writing;written_material;piece_of_writing,something that has been transcribed;a written record usually typewritten of dictated or recorded speech,T
scale,7,the holocaust was insanity on an enormous scale ,proportion,the ratio between the size of something and a representation of it,T
shade,8,his brother is success left him in the shade,inferiority;lower_status;lower_rank,a position of relative inferiority,T
end,2,at the end of the road turn left at the end of the story the main characters fall in love ,part;section;division,a final part or section,T
congregation,1,a congregation of children pleaded for his autograph,collection;aggregation;accumulation;assemblage,an assemblage of people or animals or things collected together,T
lunchtime,3,it is almost lunchtime so i think i will finish up later this afternoon ,mealtime,the customary or habitual hour for eating lunch,T
foot,1,the foot of the list,bottom,the lower part of anything,T
coverage,11,do not go to lunch if we do not have enough coverage for the help desk phones ,extent,the extent to which something is covered,T
furniture,9,the woman does not even have one stick of furniture moved in yet ,furnishing,furnishings that make a room or other area ready for occupancy,T
touch,10,with the lights out she had to rely on touch to find her desk ,exteroception,the faculty by which external objects or forces are perceived through contact with the body especially the hands ,T
wildness,7,liza had always had a tendency to wildness,unruliness;fractiousness;willfulness;wilfulness,an unruly disposition to do as one pleases,T
role,1,the role of women has changed significantly in the last century ,activity,normal or customary activity of a person in a particular social setting,T
apology,5,the ceo made a public apology for the scandal and promised full cooperation with the authorities ,acknowledgment;acknowledgement,an expression of regret at having caused trouble for someone,T
origin,1,mineral origin,source,the source of something is existence or from which it derives or is derived,T
song,6,a bird will not learn its song unless it hears it at an early age,animal_communication,the characteristic sound produced by a bird,T
grain,5,he does not have a grain of sense,smallness;littleness,the smallest possible unit of anything,T
basket,6,the point guard drove toward the basket ,basketball_equipment,horizontal circular metal hoop supporting a net through which players try to throw the basketball,T
session,6, are we having a recording session yes we have even got some session musicians to provide some brass ,meeting;coming_together,a meeting devoted to a particular activity,T
product,3,skill is the product of hours of practice,consequence;effect;outcome;result;event;issue;upshot,a consequence of someone is efforts or of a particular set of circumstances,T
finish,5,the boat had a metallic finish,decorativeness,a decorative texture or appearance of a surface or the substance that gives it that appearance ,T
smile,4,he always puts a smile on my face ,facial_expression;facial_gesture,a facial expression characterized by turning up the corners of the mouth;usually shows pleasure or amusement,T
lead,9,we were just waiting for someone to take the lead,leadership;leading,a position of leadership especially in the phrase take the lead ,T
coverage,13,before laying sod on that clay the ground needs two inches of coverage with topsoil ,extent,the extent to which something is covered,T
fatigue,1,political fatigue,boredom;ennui;tedium, always used with a modifier boredom resulting from overexposure to something,T
baby,1,the baby of the family,offspring;progeny;issue,the youngest member of a group not necessarily young ,T
one,6, driver noun one who drives ,unit,a single person or thing,T
variant,7,the word kerosine is a variant of kerosene ,type,something a little different from others of the same type,T
point,4,life has lost its point,meaning;significance;signification;import,a brief version of the essential meaning of something,T
double,5,he could be gingrich is double,person;individual;someone;somebody;mortal;soul,someone who closely resembles a famous person especially an actor ,T
credit,3,i give you credit for owning up to your mistake ,approval;commendation,approval,T
humor,5,she did not appreciate my humor,playfulness;fun,the trait of appreciating and being able to express the humorous,T
thought,2, th century thought,belief,the organized beliefs of a period or group or individual,T
fabric,1,the fabric of our lives,structure,the underlying structure,T
wall,2,the south wall had a small window,partition;divider,an architectural partition with a height and length greater than its thickness;used to divide or enclose an area or to support another structure,T
war,2,the war on drugs is a campaign against the use of narcotic drugs ,campaign;cause;crusade;drive;movement;effort,a concerted campaign to end something that is injurious,T
business,0,business is good today,business_activity;commercial_activity,the volume of commercial activity,T
flash,1,a flash sewn on his sleeve indicated the unit he belonged to,patch,a bright patch of color used for decoration or identification,T
stuff,5,the trunk was full of stuff,object;physical_object,miscellaneous unspecified objects,T
taproot,1,the taproot of his resentment,source;seed;germ,something that provides an important central source for growth or development,T
sex,2,they had sex in the back seat,bodily_process;body_process;bodily_function;activity,activities associated with sexual intercourse,T
scene,5,the crazy lady made a scene in the grocery store ,photograph;photo;exposure;picture;pic,a consecutive series of pictures that constitutes a unit of action in a film,T
slip,8,she could not hurt a fly young slip of a girl that she is ,young_person;youth;younker;spring_chicken,a young and slender person,T
syrup,1,pancake syrup,sweetening;sweetener,a thick sweet sticky liquid,T
business,6,computers are now widely used in business,commerce;commercialism;mercantilism,the activity of providing goods and services involving financial and commercial and industrial aspects,T
rest,8,a body will continue in a state of rest until acted upon,inaction;inactivity;inactiveness,a state of inaction,T
containment,1,the containment of the rebellion,restraint,the act of containing;keeping something from spreading,T
term,5,he was sentenced to a term of six years in prison ,time_period;period_of_time;period,a limited period of time,T
memorability,1,true memorability of phrase,quality,the quality of being worth remembering,T
end,4,they rode to the end of the line,extremity,either extremity of something that has length,T
significance,1,the significance of a gesture,meaning;substance,a meaning that is not expressly stated but can be inferred,T
luck,4,gilbert had some bad luck yesterday he got pick pocketed and lost fifty dollars ,phenomenon,an unknown and unpredictable phenomenon that causes an event to result one way rather than another,T
sex,2,we had sex in the back seat ,bodily_process;body_process;bodily_function;activity,activities associated with sexual intercourse,T
operation,2,a multinational operation,business_activity;commercial_activity,a business especially one run on a large scale,T
breath,4,i could hear the breath of the runner behind me ,bodily_process;body_process;bodily_function;activity,the process of taking in and expelling air during breathing,T
line,9,i tried to make a call but the line was dead ,connection;connexion;connector;connecter;connective,a telephone connection,T
survey,4, under his proud survey the city lies sir john denham ,look;looking;looking_at,the act of looking or seeing or observing,T
scene,3,the most moving scene is the final one where he realizes he has wasted his whole life ,dramatic_composition;dramatic_work,a subdivision of an act of a play,T
stuff,4,what is all that stuff on your bedroom floor ,object;physical_object,miscellaneous unspecified objects,T
enemy,1,the enemy attacked at dawn,military_unit;military_force;military_group;force,an opposing military force,T
curmudgeon,4,there is a cranky curmudgeon working at the hospital who gives all the patients and other doctors flak ,oldster;old_person;senior_citizen;golden_ager,a crusty irascible cantankerous old person full of stubborn ideas,T
gob,6,oi you shut your gob ,mouth;oral_cavity;oral_fissure;rima_oris,informal terms for the mouth,T
institution,1,the institution of slavery,custom;tradition,a custom that for a long time has been an important feature of some group or society,T
air,7,open a window and let in some air,gas,a mixture of gases especially oxygen required for breathing;the stuff that the wind consists of,T
skinful,12,someone had to drive me home last night because i had a skinful,indefinite_quantity,a quantity of alcoholic drink sufficient to make you drunk,T
line,2,a shared line,connection;connexion;connector;connecter;connective,a telephone connection,T
tea,8,the store shelves held many different kinds of tea,herb,dried leaves of the tea shrub;used to make tea,T
space,1,the space between his teeth,amorphous_shape,an empty area usually bounded in some way between things ,T
history,7,a critical time in the school is history,past;past_times;yesteryear,the aggregate of past events,T
quarter,3,it is a quarter til ,time_unit;unit_of_time,a unit of time equal to minutes or a quarter of an hour,T
deep,2,in the deep of winter,middle,the central and most intense or profound part,T
anchorage,4,the mother provides emotional anchorage for the entire family,condition;status,the condition of being secured to a base,T
game,7,he thought of his painting as a game that filled his empty time,diversion;recreation,an amusement or pastime,T
texture,6,fish with a delicate flavor and texture,constitution;composition;physical_composition;makeup;make-up,the physical composition of something especially with respect to the size and shape of the small constituents of a substance ,T
shot,2,a good shot requires good balance and tempo,maneuver;manoeuvre;play, sports the act of swinging or striking at a ball with a club or racket or bat or cue or hand,T
third,3,jones came in third ,rank,following the second position in an ordering or series,T
body,8,penny was in the scullery pressing the body of her new dress ,body_part,the body excluding the head and neck and limbs,T
clearance,2,he got clearance to travel to america even though he had previous links to terrorists,license;permission;permit,permission to proceed,T
business,2,we do business all over the world ,commerce;commercialism;mercantilism,the activity of providing goods and services involving financial and commercial and industrial aspects,T
people,2,are your people still alive ,family;family_line;folk;kinfolk;kinsfolk;sept;phratry,members of a family line,T
personification,5,the grim reaper is a personification of death ,person;individual;someone;somebody;mortal;soul,a person who represents an abstract quality,T
shame,13,when i realized that i had hurt my friend i felt deep shame ,dishonor;dishonour,a state of dishonor,T
voice,1,the voice of the law,means;agency;way,a means or agency by which something is expressed or communicated,T
licking,5,our football team took a licking last night ,ending;conclusion;finish,an unsuccessful ending to a struggle or contest,T
top,6,he stared as she buttoned her top,woman's_clothing,a garment especially for women that extends from the shoulders to the waist or hips,T
check,5,the pilot ran through the check out procedure,inspection;review,the act of inspecting or verifying,T
mouth,3, open your mouth and say aah directed the doctor ,rima,the opening through which food is taken in and vocalizations emerge,T
drink,5,i asked for a hot drink,helping;portion;serving,a single serving of a beverage,T
model,4,he is the very model of a modern major general,ideal,something to be imitated,T
rest,10,the sun sets and the workers go to their rest ,inactivity,freedom from activity work or strain or responsibility ,T
shade,6,it is much cooler in the shade,semidarkness,relative darkness caused by light rays being intercepted by an opaque body,T
notice,6,you did not give me enough notice,announcement;promulgation,an announcement containing information about an event;a notice of sale,T
bum,4,fred is becoming a bum he is not even bothering to work more than once a month ,nonworker,person who does no work,T
wall,1,a wall of water,object;physical_object,anything that suggests a wall in structure or function or effect,T
scale,1,the scale of the map,proportion,the ratio between the size of something and a representation of it,T
date,1,the date of a letter of a will of a deed of a coin etc ,calendar_day;civil_day,the particular day month or year usually according to the gregorian calendar that an event occurred,T
time,1,this time he succeeded,case;instance;example,an instance or single occasion for some event,T
finish,2,when the finish is too thin it is difficult to apply evenly,decorativeness,a decorative texture or appearance of a surface or the substance that gives it that appearance ,T
reenactment,1,the reenactment of the battle of princeton,acting;playing;playacting;performing,performing a role in an event that occurred at an earlier time,T
business,7,they did nearly a million dollars of business over the long weekend ,business_activity;commercial_activity,the volume of commercial activity,T
masquerade,5,i was invited to the masquerade at their home ,pretense;pretence;pretending;simulation;feigning,making a false outward show,T
furniture,3,a chair is furniture sofas are also furniture ,furnishing,furnishings that make a room or other area ready for occupancy,T
circulation,1,ocean circulation is an important part of global climate,change_of_location;travel,free movement or passage as of cytoplasm within a cell or sap through a plant ,T
night,3,from noon till night,twilight;dusk;gloaming;gloam;nightfall;evenfall;fall;crepuscule;crepuscle,a shortening of nightfall,T
face,3,he washed his face,external_body_part,the front of the human head from the forehead to the chin and ear to ear,T
coverage,11,the enemy fire is increasing can we get some immediate coverage from those bunkers ,extent,the extent to which something is covered,T
carnival,15,we all got to ride the merry go round when the brought their carnival to town ,festival;fete,a festival marked by merrymaking and processions,T
escape,3,he made his escape from the mental hospital,running_away,the act of escaping physically,T
time,7,he was a great actor in his time,time_period;period_of_time;period,an indefinite period usually marked by specific attributes or activities ,T
block,7,anne boleyn placed her head on the block and awaited her execution ,artifact;artefact,a solid piece of something usually having flat rectangular sides ,T
product,1,the product of and is ,quantity,a quantity obtained by multiplication,T
application,1,the application of maximum thrust,action,the action of putting something into operation,T
catch,2,he played catch with his son in the backyard,game,a cooperative game in which a ball is passed back and forth,T
sale,3,laws limit the sale of handguns,selling;merchandising;marketing,the general activity of selling,T
liver,20,you could fry up some chicken livers for a tasty treat nah i do not like chicken liver ,variety_meat;organs,liver of an animal used as meat,T
range,7,the plains lay just beyond the mountain range,geological_formation;formation,a series of hills or mountains,T
fanny,10,her dress was so short you could nearly see her fanny,genitalia;genital_organ;genitals;private_parts;privates;crotch,external female sex organs,T
extension,7,a text file will have a file extension of txt ,string,a string of characters beginning with a period and followed by one or more letters;the optional second part of a pc computer filename,T
official,5,the golfer asked for an official who could give him a ruling,adjudicator,someone who administers the rules of a game or sport,T
krona,9,gr mata maks piecas kronas the book costs five krona,swedish_monetary_unit,the basic unit of money in sweden,T
connection,1,the connection between church and state is inescapable,union;unification,the state of being connected,T
enthalpy,0,enthalpy is the amount of energy in a system capable of doing mechanical work,physical_property, thermodynamics a thermodynamic quantity equal to the internal energy of a system plus the product of its volume and pressure,T
life,2,get a life ,being;beingness;existence,a characteristic state or mode of living,T
nick,4,he is in the nick,prison;prison_house, british slang a prison,T
masquerade,3,a beggar is masquerade of wealth,pretense;pretence;pretending;simulation;feigning,making a false outward show,T
component,4,a cpu is a component of a computer ,part;portion,an artifact that is one of the individual parts of which a composite entity is made up;especially a part that can be separated from or attached to a system,T
crunch,2,a financial crunch,situation,a critical situation that arises because of a shortage as a shortage of time or money or resources ,T
universe,6,they study the evolution of the universe,natural_object,everything that exists anywhere,T
play,5,the ball was still in play,action;activity;activeness,a state in which action is feasible,T
leave,4,the applicant now seeks leave to appeal and if leave be granted to appeal against these sentences ,permission,permission to do something,T
wave,1,a wave of conservatism in the country led by the hard right,rise,something that rises rapidly,T
train,10,unfortunately the leading bridesmaid stepped on the bride is train as they were walking down the aisle ,piece_of_cloth;piece_of_material,piece of cloth forming the long back section of a gown that is drawn along the floor,T
room,2,the whole room was cheering,gathering;assemblage,the people who are present in a room,T
year,2,in the year ,time_period;period_of_time;period,a period of time containing or days,T
fix,4,he got a good fix on the target,determination;finding,a determination of the place where something is,T
streak,5,i was on a winning streak until the fourth game where i was dealt terrible cards ,succession,an unbroken series of events,T
sense,1,a sense of security,awareness;consciousness;cognizance;cognisance;knowingness,a general conscious awareness,T
gravitation,0,gravitation can not be held responsible for people falling in love albert einstein,attraction;attractive_force, physics the force of attraction between all masses in the universe;especially the attraction of the earth is mass for bodies near its surface,T
costume,6,he won the prize for best costume,attire;garb;dress,the attire worn in a play or at a fancy dress ball,T
scale,1,the scale of the model,proportion,the ratio between the size of something and a representation of it,T
time,4,i did not have time to finish,time_period;period_of_time;period,a period of time considered as a resource under your control and sufficient to accomplish something,T
finish,3,the car is finish was so shiny and new ,decorativeness,a decorative texture or appearance of a surface or the substance that gives it that appearance ,T
term,7,he left school before the end of term,time_period;period_of_time;period,a limited period of time,T
sense,1,common sense is not so common,sagacity;sagaciousness;judgment;judgement;discernment,sound practical judgment,T
room,6,there was not that much elbow room in the aircraft ,position;spatial_relation,space for movement,T
light,3,can you shed light on this problem ,insight;brainstorm;brainwave,mental understanding as an enlightening experience,T
ball,1,the ball travelled mph on his serve,game_equipment,round object that is hit or thrown or kicked in games,T
boy,4,the baby was a boy,male;male_person,a youthful male person,T
practice,0,practice makes perfect,training;preparation;grooming,systematic training by multiple repetitions,T
floor,1,the floor of the pelvis,surface;earth's_surface,the lower inside surface of any hollow structure,T
operation,15,it is dangerous to look at the beam of a laser while it is in operation ,medical_procedure,a medical procedure involving an incision with instruments;performed to repair damage or arrest disease in a living body,T
circus,8,he ran away from home to join the circus,company;troupe,a travelling company of entertainers;including trained animals,T
text,5,they handed out the printed text of the mayor is speech,matter,the words of something written,T
rest,4,the boulder came to rest just behind the house after rolling down the mountain ,inaction;inactivity;inactiveness,a state of inaction,T
reading,1,a reading of the current situation ,interpretation,a particular interpretation or performance,T
hearing,1,my hearing is not what it used to be but i still heard that noise ,exteroception,the ability to hear;the auditory faculty,T
drop,4,there is not a drop of pity in that man,small_indefinite_quantity;small_indefinite_amount,a small indefinite quantity especially of a liquid ,T
finish,7,he applied a coat of a clear finish,decorativeness,a decorative texture or appearance of a surface or the substance that gives it that appearance ,T
production,13,they improve their product every year they export most of their agricultural production ,creation,an artifact that has been created by someone or some process,T
sign,4,the hunters found deer sign at the end of the trail ,clue;clew;cue,a perceptible indication of something not immediately apparent as a visible clue that something has happened ,T
hall,8,the elevators were at the end of the hall,corridor,an interior passage or corridor onto which rooms open,T
window,1,launch window window of opportunity,time_period;period_of_time;period,the time period that is considered best for starting or finishing something,T
forefront,8,the idea of motion was always to the forefront of his mind and central to his philosophy,position;view;perspective,the position of greatest importance or advancement;the leading position in any movement or field,T
claim,1,his claim that he was innocent,assertion;averment;asseveration,an assertion that something is true or factual,T
cycle,1,the cycle of the seasons or of the year,time_interval;interval,an interval during which a recurring sequence of events occurs,T
hour,7,the job will take more than an hour,time_unit;unit_of_time,a period of time equal to th of a day,T
field,8,a crop circle was made in a corn field ,tract;piece_of_land;piece_of_ground;parcel_of_land;parcel,a piece of land cleared of trees and usually enclosed,T
line,1,the line of soldiers advanced with their bayonets fixed,formation,a formation of people or things one beside another,T
lead,5,they did not follow our lead,leadership;leading,a position of leadership especially in the phrase take the lead ,T
lady,11,a chauffeur opened the door of the limousine for the grand lady,woman;adult_female,a woman of refinement,T
post,2,sent via post parcel post,occupation;business;job;line_of_work;line,a job in an organization,T
contraction,6, wo not is a contraction of will not ,word,a word formed from two or more words by omitting or combining some sounds,T
bid,1,his bid was $ ,offer;offering,a formal proposal to buy at a specified price,T
coverage,3,the dictionary is coverage of standard english is excellent,extent,the extent to which something is covered,T
leave,3,she was granted leave to speak,permission,permission to do something,T
cold,5,come in out of the cold,temperature,the absence of heat,T
copy,3,she made a copy of the designer dress,representation,a thing made to be similar or identical to another thing,T
dwelling,2,philip is dwelling fronted on the street alfred tennyson,housing;lodging;living_accommodations,housing that someone is living in,T
bankruptcy,1,intellectual bankruptcy,failure,a state of complete lack of some abstract property,T
quarrel,5,we got into a silly quarrel about what food to order ,dispute;difference;difference_of_opinion;conflict,an angry dispute,T
sack,8,the boss is gon na give her the sack today ,termination;ending;conclusion,the termination of someone is employment leaving them free to depart ,T
key,1,the key to development is economic integration,explanation,something crucial for explaining,T
chain,1,a chain of mountains,series,a series of things depending on each other as if linked together,T
side,5,it brought out his better side,aspect;facet,an aspect of something as contrasted with some other implied aspect ,T
narrowness,8,the attraction of the book is precisely its narrowness of focus,restriction;limitation,a restriction of range or scope,T
part,2,the rear part of the house,object;physical_object,something less than the whole of a human artifact,T
sign,6,their angry expressions were a clear sign they did not want to talk ,clue;clew;cue,a perceptible indication of something not immediately apparent as a visible clue that something has happened ,T
improbability,6,impossibility should never be confused with improbability,uncertainty;uncertainness;precariousness,the quality of being improbable,T
work,7,a lot of people are out of work,occupation;business;job;line_of_work;line,the occupation for which you are paid,T
unit,6,the dollar is the united states unit of currency,definite_quantity,any division of quantity accepted as a standard of measurement or exchange,T
field,5,the design needs to be field tested before we commit to manufacture ,region,somewhere away from a studio or office or library or laboratory where practical work is done or data is collected,T
range,7,he dreamed of a home on the range,tract;piece_of_land;piece_of_ground;parcel_of_land;parcel,a large tract of grassy open land on which livestock can graze,T
